Variable;Data type;Description
ID;Primary key, Integer;Unique identifier for each advert generated by the site
ShortDesc;String;A short description for given advertismenet
Prices;Integer;The price of the car expressed in HUF
Engine;Categorical;The type of the engine either Diesel, Gasoline or in rare cases, LPG
Year;Date (YYYY/MM);The year this model was introduced
Engine;Categorical;The type of the engine either Diesel, Gasoline or in rare cases, LPG
Year;Date (YYYY/MM);The year this model was introduced
Displacement;Integer;The measure of the cylinder volume in m3
Power_kW;Integer;Power expressed in Kilowatts
Horsepower;Integer;Power expressed in Horsepower
Km;Integer;How many kilometers the car travelled so far
PictureCount;Integer;How many pictures were uploaded in the ad
